# File: L101.in_EJ_ctry_bld_Fi_Yh.csv
# Title: energy balance bld
# Units: NA
# Column types: cccnn
# ----------
iso,sector,fuel,year,value
aze,in_bld_resid,heat,1971,0
aze,in_bld_resid,refined liquids,1971,0.00107312
bdi,in_bld_comm,biomass,1971,8.85E-05
bdi,in_bld_comm,coal,1971,0
bdi,in_bld_comm,electricity,1971,2.33E-05
bdi,in_bld_comm,gas,1971,0
bdi,in_bld_comm,refined liquids,1971,0.002494154
bdi,in_bld_resid,biomass,1971,3.07E-04
bdi,in_bld_resid,coal,1971,0
bdi,in_bld_resid,electricity,1971,4.66E-05
bdi,in_bld_resid,refined liquids,1971,6.75E-05
bdi,in_bld_resid,traditional biomass,1971,0.041375936
bel,in_bld_comm,biomass,1971,0
bel,in_bld_comm,coal,1971,0.01209754
bel,in_bld_comm,electricity,1971,0.01197196
bel,in_bld_comm,gas,1971,0.00929292
bel,in_bld_comm,heat,1971,0
bel,in_bld_comm,refined liquids,1971,0.01678586
bel,in_bld_resid,biomass,1971,0
bel,in_bld_resid,coal,1971,0.09150596
bel,in_bld_resid,electricity,1971,0.01959048
bel,in_bld_resid,gas,1971,0.0303485
bel,in_bld_resid,heat,1971,0
bel,in_bld_resid,refined liquids,1971,0.24923444
ben,in_bld_comm,biomass,1971,0.0232323
ben,in_bld_comm,electricity,1971,4.19E-05
ben,in_bld_comm,refined liquids,1971,0
ben,in_bld_resid,biomass,1971,0.0018837
ben,in_bld_resid,electricity,1971,0
ben,in_bld_resid,refined liquids,1971,5.86E-04
ben,in_bld_resid,traditional biomass,1971,0.01096732
bfa,in_bld_comm,biomass,1971,1.43E-04
bfa,in_bld_comm,coal,1971,0
bfa,in_bld_comm,electricity,1971,3.78E-05
bfa,in_bld_comm,gas,1971,0
bfa,in_bld_comm,refined liquids,1971,0.00404391
bfa,in_bld_resid,biomass,1971,4.98E-04
bfa,in_bld_resid,coal,1971,0
bfa,in_bld_resid,electricity,1971,7.55E-05
bfa,in_bld_resid,refined liquids,1971,1.09E-04
bfa,in_bld_resid,traditional biomass,1971,0.067085113
bgd,in_bld_comm,coal,1971,4.19E-05
bgd,in_bld_comm,electricity,1971,2.09E-04
bgd,in_bld_comm,gas,1971,4.19E-05
bgd,in_bld_comm,refined liquids,1971,0
bgd,in_bld_resid,biomass,1971,0
bgd,in_bld_resid,electricity,1971,4.60E-04
bgd,in_bld_resid,gas,1971,4.19E-05
bgd,in_bld_resid,refined liquids,1971,0.01159522
bgd,in_bld_resid,traditional biomass,1971,0.18652816
bgr,in_bld_comm,biomass,1971,0
bgr,in_bld_comm,coal,1971,0.00318136
bgr,in_bld_comm,electricity,1971,0.00527436
bgr,in_bld_comm,gas,1971,0.01033942
bgr,in_bld_comm,heat,1971,2.51E-04
bgr,in_bld_comm,refined liquids,1971,0.27748994
bgr,in_bld_resid,biomass,1971,0.01113476
bgr,in_bld_resid,coal,1971,0.03373916
bgr,in_bld_resid,electricity,1971,0.01017198
bgr,in_bld_resid,gas,1971,0
bgr,in_bld_resid,heat,1971,0.00443716
bgr,in_bld_resid,refined liquids,1971,0.0064883
bhr,in_bld_comm,electricity,1971,9.21E-04
bhr,in_bld_resid,electricity,1971,0
bhr,in_bld_resid,refined liquids,1971,6.70E-04
bhs,in_bld_comm,biomass,1971,6.04E-06
bhs,in_bld_comm,coal,1971,7.85E-05
bhs,in_bld_comm,electricity,1971,0.001177787
bhs,in_bld_comm,gas,1971,9.06E-06
bhs,in_bld_comm,refined liquids,1971,0.003787039
bhs,in_bld_resid,biomass,1971,9.06E-06
bhs,in_bld_resid,coal,1971,6.04E-06
bhs,in_bld_resid,electricity,1971,7.22E-04
bhs,in_bld_resid,gas,1971,3.02E-06
bhs,in_bld_resid,refined liquids,1971,6.95E-05
bhs,in_bld_resid,traditional biomass,1971,9.97E-05
bih,in_bld_comm,biomass,1971,0.004510003
bih,in_bld_comm,coal,1971,0.010567375
bih,in_bld_comm,electricity,1971,0.00135847
bih,in_bld_comm,gas,1971,5.59E-05
bih,in_bld_comm,heat,1971,0
bih,in_bld_comm,refined liquids,1971,0.008479662
bih,in_bld_resid,biomass,1971,0
bih,in_bld_resid,coal,1971,0
bih,in_bld_resid,electricity,1971,0.003684617
bih,in_bld_resid,gas,1971,1.65E-04
bih,in_bld_resid,heat,1971,0
bih,in_bld_resid,refined liquids,1971,0
blr,in_bld_comm,biomass,1971,0
blr,in_bld_comm,coal,1971,0.017558865
blr,in_bld_comm,electricity,1971,0.009706367
blr,in_bld_comm,gas,1971,0.020701621
blr,in_bld_comm,heat,1971,0.014522582
blr,in_bld_comm,refined liquids,1971,0.006190707
blr,in_bld_resid,biomass,1971,0
blr,in_bld_resid,coal,1971,0
blr,in_bld_resid,electricity,1971,0
blr,in_bld_resid,gas,1971,0
blr,in_bld_resid,heat,1971,0
blr,in_bld_resid,refined liquids,1971,0.005401857
blz,in_bld_comm,biomass,1971,4.33E-06
blz,in_bld_comm,coal,1971,5.63E-05
blz,in_bld_comm,electricity,1971,8.45E-04
blz,in_bld_comm,gas,1971,6.50E-06
blz,in_bld_comm,refined liquids,1971,0.002717802
blz,in_bld_resid,biomass,1971,6.50E-06
blz,in_bld_resid,coal,1971,4.33E-06
blz,in_bld_resid,electricity,1971,5.18E-04
blz,in_bld_resid,gas,1971,2.17E-06
blz,in_bld_resid,refined liquids,1971,4.98E-05
blz,in_bld_resid,traditional biomass,1971,7.15E-05
bmu,in_bld_comm,biomass,1971,1.85E-06
bmu,in_bld_comm,coal,1971,2.40E-05
bmu,in_bld_comm,electricity,1971,3.60E-04
bmu,in_bld_comm,gas,1971,2.77E-06
bmu,in_bld_comm,refined liquids,1971,0.001157788
bmu,in_bld_resid,biomass,1971,2.77E-06
bmu,in_bld_resid,coal,1971,1.85E-06
bmu,in_bld_resid,electricity,1971,2.21E-04
bmu,in_bld_resid,gas,1971,9.23E-07
bmu,in_bld_resid,refined liquids,1971,2.12E-05
bmu,in_bld_resid,traditional biomass,1971,3.05E-05
bol,in_bld_comm,electricity,1971,2.93E-04
bol,in_bld_comm,gas,1971,0
bol,in_bld_comm,refined liquids,1971,0.00117208
bol,in_bld_resid,biomass,1971,0
bol,in_bld_resid,electricity,1971,6.70E-04
bol,in_bld_resid,gas,1971,0
bol,in_bld_resid,refined liquids,1971,0.00406042
bol,in_bld_resid,traditional biomass,1971,0.00661388
bra,in_bld_comm,biomass,1971,0.0098371
bra,in_bld_comm,electricity,1971,0.03549728
bra,in_bld_comm,gas,1971,7.53E-04
bra,in_bld_comm,refined liquids,1971,0.01280916
bra,in_bld_resid,biomass,1971,0.02026024
bra,in_bld_resid,electricity,1971,0.03319498
bra,in_bld_resid,gas,1971,0.00410228
bra,in_bld_resid,refined liquids,1971,0.07580846
bra,in_bld_resid,traditional biomass,1971,0.79810276
brb,in_bld_comm,biomass,1971,8.34E-06
brb,in_bld_comm,coal,1971,1.08E-04
brb,in_bld_comm,electricity,1971,0.001626208
brb,in_bld_comm,gas,1971,1.25E-05
brb,in_bld_comm,refined liquids,1971,0.005228883
brb,in_bld_resid,biomass,1971,1.25E-05
brb,in_bld_resid,coal,1971,8.34E-06
brb,in_bld_resid,electricity,1971,9.97E-04
brb,in_bld_resid,gas,1971,4.17E-06
brb,in_bld_resid,refined liquids,1971,9.59E-05
brb,in_bld_resid,traditional biomass,1971,1.38E-04
brn,in_bld_comm,biomass,1971,6.70E-04
brn,in_bld_comm,electricity,1971,3.35E-04
brn,in_bld_comm,refined liquids,1971,0
brn,in_bld_resid,electricity,1971,2.51E-04
brn,in_bld_resid,gas,1971,0
brn,in_bld_resid,refined liquids,1971,2.93E-04
btn,in_bld_comm,biomass,1971,0
btn,in_bld_comm,coal,1971,1.38E-05
btn,in_bld_comm,electricity,1971,1.97E-06
btn,in_bld_comm,gas,1971,1.28E-04
btn,in_bld_comm,refined liquids,1971,5.85E-04
btn,in_bld_resid,biomass,1971,2.17E-05
btn,in_bld_resid,coal,1971,0
btn,in_bld_resid,electricity,1971,1.84E-05
btn,in_bld_resid,refined liquids,1971,3.09E-05
btn,in_bld_resid,traditional biomass,1971,0.001532316
bwa,in_bld_comm,biomass,1971,0
bwa,in_bld_comm,coal,1971,0
bwa,in_bld_comm,electricity,1971,0
bwa,in_bld_comm,refined liquids,1971,0
bwa,in_bld_resid,coal,1971,0
bwa,in_bld_resid,electricity,1971,0
bwa,in_bld_resid,refined liquids,1971,0
bwa,in_bld_resid,traditional biomass,1971,0
caf,in_bld_comm,biomass,1971,4.61E-05
caf,in_bld_comm,coal,1971,0
caf,in_bld_comm,electricity,1971,1.21E-05
caf,in_bld_comm,gas,1971,0
caf,in_bld_comm,refined liquids,1971,0.001300436
caf,in_bld_resid,biomass,1971,1.60E-04
caf,in_bld_resid,coal,1971,0
caf,in_bld_resid,electricity,1971,2.43E-05
caf,in_bld_resid,refined liquids,1971,3.52E-05
caf,in_bld_resid,traditional biomass,1971,0.02157315
can,in_bld_comm,coal,1971,0
can,in_bld_comm,electricity,1971,0.15605408
can,in_bld_comm,gas,1971,0.2076256
can,in_bld_comm,heat,1971,0
can,in_bld_comm,refined liquids,1971,0.38879568
can,in_bld_resid,biomass,1971,0.07999446
can,in_bld_resid,coal,1971,0.0274183
can,in_bld_resid,electricity,1971,0.17690036
can,in_bld_resid,gas,1971,0.236509
can,in_bld_resid,heat,1971,0
can,in_bld_resid,refined liquids,1971,0.57155644
